Keyword,Machine translation,Human translation (if necessary),Notes,Category,Source,Source2,Source3
卢展工,LuZhanGong,Lu Zhangong,Lu Zhangong is vice chairman for the Chinese People's Political Consultatative Conference,CPC member / Gov official,http://en.wikipedia.org/wiki/Lu_Zhangong,http://www.chinavitae.com/biography/Lu_Zhangong%7C413,
梅克保,Deputy Secretary Mei,Mei Kebao,Mei Kebao is an alternate member of the 18th CPC Central Committee,CPC member / Gov official,http://www.chinavitae.com/biography/Mei_Kebao,,
孟建柱,Meng Jianzhu,,"Meng Jianzhu was name the CPC's secretary of the Central Politics and Law Commission (replacing Zhou Yongkang) on November 19, 2012. His position overseas all legal and law enforcement issues. He is also currently the Minister of Public Security.",CPC member / Gov official,http://en.wikipedia.org/wiki/Meng_Jianzhu.,,
彭丽媛,Peng Liyuan,,Peng Liyuan is the wife of Chinese President Xi Jinping,Relatives / Associates of Government Officials,,,
钱运录,Qian Yunlu,,Qian Yunlu is a member of the 17th CPC Central Committee,CPC member / Gov official,http://www.chinavitae.com/biography/Qian_Yunlu%7C277,http://en.wikipedia.org/wiki/Qian_Yunlu,
十八大,Eighteen,,18th party congress,18th CPC National Congress (2012),,,
宋祖英,Zuying,,Song Zuying is an ethnic Miao Chinese singer and was alleged to be a mistress of Jiang Zemin.,Relatives / Associates of Government Officials,http://en.wikipedia.org/wiki/Song_Zuying#Alleged_affair_with_Jiang_Zemin.,,
太子党,Princelings,,"Reference to the ""Princeling"" faction in the Communist Party of China. This is not a formal name but a derogatory term to signify those (usually sons and daughters of prominent members of the CPC) who are benefitting from nepotism.",Relatives / Associates of Government Officials,,,
王安顺,Wang Anshun,,Wang Anshun is a politician in the PRC and acting mayor of Beijing.,CPC member / Gov official,http://en.wikipedia.org/wiki/Wang_Anshun,,
王国生,Wang Guosheng,,Wang Guosheng is a general in the PLA and was a member of the 17th Central Committee.,CPC member / Gov official,http://en.wikipedia.org/wiki/Wang_Guosheng_(general),http://www.chinavitae.com/biography/Wang_Guosheng%7C4044,
王立军,Wang Lijun,,Wang Lijun is a former police chief of Chongqing who was jailed after being implicated in the Bo Xilai scandal.,Bo Xilai Scandal,http://en.wikipedia.org/wiki/Wang_Lijun,,
王岐山,Wang Qishan,,"Wang Qishan is a PRC politician and serves as the Secretary of the Central Commission for Discipline Inspection and the Vice-Premier overseeing economics, energy, and financial affairs under premier Wen Jiabao. At the 18the Party Congress, he became a member of the Politburo Standing Committee.",CPC member / Gov official,http://en.wikipedia.org/wiki/Wang_Qishan,,
王兆国,Wang],,Wang Zhaoguo is a Chinese politician who came to power during Deng Xiaoping's era.,CPC member / Gov official,http://en.wikipedia.org/wiki/Wang_Zhaoguo,,
网评员,Internet commentators,,"derogatory term for pro-China commentators online, the so-called 50 cent party",Censorship,,,
温夫人,Lady Windermere,Mrs. Wen,"Reference to Wen Jiabao's wife, Zhang Peili, accused of corruption",Relatives / Associates of Government Officials,,,
温云松,Wen Yunsong,,"son of Wen Jiabao, noted princeling",Relatives / Associates of Government Officials,,,
瘟家饱,Full blast home,,This is a homophone of 'Wen Jiabao'. ,CPC member / Gov official,,,
习近平,Xi Jinping,,general secratary of CCP,CPC member / Gov official,,,
习明泽,Xi Mingze,,Xi Mingze is the daughter of Xi Jinping.,Relatives / Associates of Government Officials,http://en.wikipedia.org/wiki/Xi_Mingze,,
夏宝龙,Xia Baolong,,Xia Baolong is the party chief of Zhejiang province,CPC member / Gov official,http://en.wikipedia.org/wiki/Xia_Baolong,,
先帝江,Jiang Xiandi,Deceased Emperor Jiang,reference to rumor about Jiang Zemin's death,Jiang Zemin death rumour,,,
辛子陵,Xin Ziling,,"Xin Ziling was a former official at the Chinese National Defence University and a ""liberal"" within the CPC. In October 2010, he was part of an open letter calling for free speech and the end of censorship in China. His lectures were canceled but continued to use the Internet to disseminate his lecture and allow political debate. In 2011, he was again under pressure because of a speech called ""Our Situation and Prospects"". He has been prohibited by the Party from any further speaking engagements.",CPC member / Gov official,http://cmp.hku.hk/2011/05/11/12144/,,
影帝温,Actor temperature,"Oscar best actor winner, Wen [Jiabao]","A nickname for Wen Jiabao after he appeared to cry insincerely on television.
This is also a reference to a book written by Yu Jie (an exiled dissident)",Communist Party of China (CPC) -- Criticism,http://en.wikipedia.org/wiki/China's_Best_Actor:_Wen_Jiabao,,
俞惠煜,Yuhui Yu,,vice president of Shanghai International Cultural Communication Association and works with Xi Jinping?,Relatives / Associates of Government Officials,http://www.expo-2011.com/experts_show.php?id=48,,
张德江,Zhang Dejiang,,"Zhang Dejiang is a vice premier of China, a member of the Communist Party's Politburo, and party chief in Chongqing (succeeding Bo Xilai). On July 23, 2011, Zhang Dejiang was head of rescue efforts of the train crash. He and other party leaders ordered the burial of the wreckage.",Wenzhou Train Crash,,,
张高丽,Zhang Gaoli,,Zhang Gaoli is the Vice Premier of the PRC,CPC member / Gov official,http://en.wikipedia.org/wiki/Zhang_Gaoli,,
张培莉,Zhang Peili,,Zhang Pieli is the wife of former premier Wen Jiabao,Relatives / Associates of Government Officials,http://en.wikipedia.org/wiki/Zhang_Peili,,
章沁生,Zhang Qinsheng,,Zhang Qinsheng is a general in the PLA and member of the 17th central committee.,CPC member / Gov official,http://en.wikipedia.org/wiki/Zhang_Qinsheng,,
赵紫阳,Zhao Ziyang,,"Former general secretary of CCP, brought down by opposition to Tiananmen crackdown",CPC member / Gov official,,,
真理部,Ministry of Truth,,This is related to censorship instructions that the government (central or local) issue to the media or Internet companies.,Censorship,http://chinadigitaltimes.net/china/ministry-of-truth/,,
真善忍,Forbearance,"Truthfulness, Compassion, Tolerance","These three characters are zhen, shan and ren, which correspond to Falun Gong principles",Religion -- Falun Gong,,,
周永康,Zhou Yongkang,,Caught up in scandal,CPC member / Gov official,,,
朱镕基,Zhu,Zhu Rongji,Well respected former high official,CPC member / Gov official,,,
转世党,Reincarnation Party,,"Refers to method by which banned Sina Weibo users would simply wait a little while before restarting their accounts with the same username, but just adding a number to the end of it, as a sign of protest to censorship",Censorship,http://baike.baidu.com/view/7464730.htm,,
自由门,Freegate,Freegate,"Freegate is  software that enables Internet users in places such as China, Syria, Iran, etc, to view websites that are blocked by government officials. Freegate is a creation of the Global Internet Freedom Consortium (linked to the Falun Gong).",Censorship,,,
自由門,Freegate,Freegate,"Freegate is  software that enables Internet users in places such as China, Syria, Iran, etc, to view websites that are blocked by government officials. Freegate is a creation of the Global Internet Freedom Consortium (linked to the Falun Gong).",Censorship,,,
319政变,319 coup,March 19 Coup,refers to rumored coup by supporters of Bo Xilai during March 2012,Bo Xilai Scandal,,,
64 学生,64 Students,June 4 Students,Refers to June 4 1989,Tiananmen Square (June 4 1989),,,
贺国强 ,He Guoqiang,,retired high-ranking official in the Communist Party of China,CPC member / Gov official,,,
胡 锦涛,Hu Jintao,,"name of Hu Jintao with a space between surname and given name,",CPC member / Gov official,,,
胡春华 ,Hu Chunhua,,"a prominent Chinese politician and regional official. He is the Communist Party Secretary of Guangdong province, the province's top political office.",CPC member / Gov official,,,
胡锦涛 ,Hu Jintao,,former general secretary of CCP,CPC member / Gov official,,,
李长春 ,Li Changchun,, was the propaganda chief of the Communist Party of China. He was the member of the 16th and 17th Politburo Standing Committee of the Communist Party of China,CPC member / Gov official,,,
零8宪章,And 8 of the Charter,08 Charter,"alternative reference to Charter 08 (typically ""零八宪章"")",Charter 08,,,
温家宝 ,Wen,Wen Jiabao,former premier of China; extra space at end,CPC member / Gov official,,,
习近平 ,Xi Jinping,,general secratary of CCP; extra space at end,CPC member / Gov official,,,
周 永康,Zhou Yongkang,,CPC member caught in a scandal,CPC member / Gov official,http://en.wikipedia.org/wiki/Zhou_Yongkang,,
阿波罗网,Apollo Network,www.aboluowang.com,"Website critical of CCP, possible ties to Falun Gong",Communist Party of China (CPC) -- Criticism,http://www.aboluowang.com/tag/%E9%98%BF%E6%B3%A2%E7%BD%97%E7%BD%91_1.html,,
半羽加贝,Semi- Yu Gabay,Xi + Bei or Xi Jiabei?,Something to do with Xi Jinping,CPC member / Gov official,,,
北京政变,Beijing coup,,,Communist Party of China (CPC) -- Criticism,,,
惨绝人寰,Extremely tragic,,describes instances or torture or massacres,Misc,,,
大法真相,Dafa truth,,,Religion -- Falun Gong,,,
德国之声,Deutsche Welle,,Website with occasional anti-CCP material,Media -- International Media,,,
多杰羌佛,Dorje Chang Buddha,,Has something to do with this cult-like figure?,Religion -- General Religion,http://www.truebuddhadharma.org/,http://www.sfbg.com/pixel_vision/2012/08/08/worship-long-haired-handsome-cult-museum-first-thursdays,
海尔伍德,Haier Wood,[Neil] Haywood,"broken transliteration of Brit national who died mysteriously, and Bo Xilai's wife was convicted of murdering him",Bo Xilai Scandal,http://baike.baidu.com/view/6049531.htm,,
河蟹社会,Crab community,River Crab Society,"Also a corruption of ""和谐社会"", which means ""harmonious society"".  The pinyin is not quite the same, the second character has a down tone instead of an up tone in this case and means ""crab"".  The river crab has become an online symbol of Internet censorship and other forms of censorship because of its closeness to ""harmonious"" in terms of pronunciation.",Censorship,,,
胡温内斗,Hu and Wen infighting,,rumors of conflict between Hu Jintao and Wen Jiabao,CPC member / Gov official,,,
胡问十年,Hu asked decade,Hu-Wen decade,the ten years they were in power,CPC member / Gov official,,,
黄海事件,Yellow Sea incident,,1994 naval incident between US and China?,International relations -- United States,http://www.baike.com/wiki/%E9%BB%84%E6%B5%B7%E4%BA%8B%E4%BB%B6&prd=button_doc_jinru,http://articles.latimes.com/1994-12-14/news/mn-8896_1_kitty-hawk,
李克强  ,Li Keqiang,,Li Keqiang is the premier of the PRC,CPC member / Gov official,,,
六四档案,Sixty-four file,June 4 Memo/archives,website which collects Tiananmen Square news and records,Tiananmen Square (June 4 1989),http://www.64memo.com/d/,,
洛桑桑盖,洛桑桑cover,Lobsang Sangay,Tibetan activist and elected leader of Tibetan government in exile; coded spelling of actual name: 洛桑森格,Ethnic Groups -- Tibetan,,,
美国之音,Voice of America,,Literal translation,Media -- Chinese Independent / Opposition Media,,,
墨镜先生,Mr. Sunglasses,,"refers to Chen Guangcheng, blind activist",Dissident / Activist,,,
驱逐共匪,Expulsion Bandits,Expel the Communist Bandits,anti-CCP slogan,Communist Party of China (CPC) -- Criticism,,,
全球审江,Jiang global trial,,Related to prosecuting Jiang Zemin for crimes against Falun Gong practitioners.,Religion -- Falun Gong,http://www.minghui.org/mh/articles/2003/11/27/61362.html,,
人民报网,De Volkskrant Network,"""People's Daily""",anti-CCP website/newspaper that supports Falun Gong,Media -- Chinese Independent / Opposition Media,http://www.renminbao.com/,http://zh.wikipedia.org/wiki/%E4%BA%BA%E6%B0%91%E6%8A%A5_(%E4%B8%AD%E6%96%87),
神韵仙音,Charm fairy sound,Shenyun xian yin,"Not sure. This could be a reference to the Falungong related performance group - ""神韵艺术团.""",Religion -- Falun Gong,,,
审判中共,CCP trial,,,Communist Party of China (CPC) -- Criticism,,,
吾尔开希,Wuerkaixi,Wu'erkaixi,dissident,Dissident / Activist,,,
吴邦国  ,Wu Bangguo,,Wu Bangguo is a high ranking CPC member,CPC member / Gov official,http://en.wikipedia.org/wiki/Wu_Bangguo,,
西贝半羽,Sibelius half feather,,Some sort of reference to Xi Jinping,CPC member / Gov official,,,
西藏独立,Tibetan independence.,,Literal translation,Ethnic Groups -- Tibetan,,,
西藏之声,Voice of Tibet,,Media org (originally radio station) in favor of Tibetan independence,Ethnic Groups -- Tibetan,http://www.vot.org/cn/,,
新疆独立,Xinjiang independence,,calls for independence in northwestern province of China that is predominantly Muslim and ethnically Uyghur,Ethnic Groups -- Uyghur,,,
新唐人网,NTDTV network,New tang Dyntasy Television,"anti-CCP, pro Falun-Gong TV station",Media -- Chinese Independent / Opposition Media,,,
一党独裁,One-party dictatorship,,,Communist Party of China (CPC) -- Criticism,,,
一党私利,A party interests,One-party personal gain,criticism of corruption by CCP,Communist Party of China (CPC) -- Criticism,,,
一党执政,A ruling party,One party in office,,Communist Party of China (CPC) -- General CPC,,,
一党专政,One-party dictatorship,,"This is in general related to the political system in China, where the Communist Party of China is at the helm of control. 
More specifically, it is also related to the 2011 Chinese pro-democracy protests (namely the Jasmine Revolution). Among the slogans shouted during rallies were ""End one party dictatorship!"" [結束一黨專政] or ""Terminate one party rule!"" [停止一黨專政].",Jasmine Revolution,,,
中共当局,Chinese authorities,Communist authorities,,Communist Party of China (CPC) -- General CPC,,,
中共高层,CPC leadership,CCP leadership,,Communist Party of China (CPC) -- General CPC,,,
中共流氓,CCP rogue,CCP gangsters,,Communist Party of China (CPC) -- Criticism,,,
89 天安门,89 Tiananmen,,Refers to June 4 1989,Tiananmen Square (June 4 1989),,,
liuxiaobo,liuxiaobo,,Liu Xiaobo is a prominent Chinese dissident.,Dissident / Activist,,,
阿坝 自焚,Aba self-immolation,Ngaba self immilation,refers to spate of self immolations in and around Tibetan city of Ngaba by those protesting Chinese rule,Tibetan Self-immolations,,,
暴力 革命,Violent revolution,,,Misc,,,
北京 政变,Beijing coup,,refers to rumor of Bo Xilai-inspired coup,Bo Xilai Scandal,,,
国殇 国庆,Memorial Day,"National martyr, National Day","first two characters refers to the deaths of innocents, specially those who died on June 4. to get around censorship. Activists sometimes commemorate the anniversary and make calls for political reform on Oct 1, National Day.",Tiananmen Square (June 4 1989),,,
黄海 事件,Yellow Sea incident,,same as v22 id: 152 except with a space,International relations -- United States,,,
令计 车祸,Order total accident,Ling Ji[hua] car accident,"refers to former Hu Jintao's chief of staff whose son got into a fatal car accident, after which Ling tried to cover it up",Ferrari Crash (March 2012),,,
六四 学生,Sixty-four students,,Refers to June 4 1989,Tiananmen Square (June 4 1989),,,
民主 自由,Democracy and freedom,,,Democracy (Chinese Democracy Movement),,,
中国 六四,China sixty-four,,Refers to June 4 1989,Tiananmen Square (June 4 1989),,,
祖英 泽民,Zuying Zemin,,"refers to Song Zuying, Jiang Zemin's alleged misstress",Jiang Zemin,,,
jiangzemin,jiangzemin,,Jiang Zemin is former general secretary of CPC,CPC member / Gov official,,,
藏人文化网,Tibetan Cultural Network,,,Ethnic Groups -- Tibetan,,,
多维新闻网,Multidimensional News,Duowei News,"Chinese-language newspaper, can be critical of CCP",Media -- Chinese Independent / Opposition Media,http://www.dwnews.com/,,
国家防火墙,National firewall,,refers to Great Firewall,Censorship,,,
毛泽东忏悔,Mao Zedong repentance,"Mao Zedong, Repent","Slogan used by those critical of Mao. Often linked today with a notable broze sculpture created by the Gao Brothers featuing a kneeling, headless Mao, called ""Mao's Guilt""",CPC member / Gov official,http://www.nytimes.com/2009/10/06/arts/design/06gao.html?pagewanted=all&_r=0,,
毛泽东下跪,Mao Zedong kneel,,Might refer to a controversial statue depicting Mao kneeling in repentence.,CPC member / Gov official,http://www.molihua.org/2011/06/blog-post_4935.html,,
茉莉花革命,Jasmine Revolution,,Refers to the Jasmine revolution,Jasmine Revolution,,,
茉莉花运动,Jasmine Movement,,Refers to the Jasmine revolution,Jasmine Revolution,,,
天安门事件,Tiananmen Incident,,Refers to June 4 1989,Tiananmen Square (June 4 1989),,,
网络评论员,Network commentator,,"derogatory term for pro-China commentators online, the so-called 50 cent party",Censorship,,,
政法委书记,Political and Legal Committee,Secretary of Central Politics and Law Commission of the Communist Party of China,"oversees all legal enforcement authorities, including the police force; currently Meng Jianzhu",Communist Party of China (CPC) -- General CPC,,,
政治局常委,Politburo Standing Committee,,highest political body in CCP,Communist Party of China (CPC) -- General CPC,,,
总参副总长,Deputy Chief of the General Staff,Deputy Chiefs of Staff,high-ranking military officers,CPC member / Gov official,,,
罢免 陈政高,High recall Chen,Dismiss Chen Zhenggao,"current governor of Liaoning; ""According to overseas Chinese media reports, on August 7, a deputy-level CCP official said that 96 National People's Congress deputies and members of Political Consultant Committee of Liaoning Province have signed a letter urging the CCP central committee to conduct a thorough investigation into the business strike. They appealed to dismiss Liaoning Governor Chen Zhenggao ""to satisfy the public desire.""",CPC member / Gov official,https://www.youtube.com/watch?v=2hEdJWESh-w#t=90,,
法拉利 三环,Ferrari tricyclic,"Ferrari, third ring",where the fatal crash of Ling Jihua's son took place,Ferrari Crash (March 2012),,,
府右街 拆迁,Fuyoujie demolition,Fuyou Street demolitions,This is a reference to the forced demolitions happening across Beijing. Fuyou Street is the border of a Hutong in Beijing and part of Zhongnanhai (the seat of the CPC leadership). For example the President's office is there.,Forced Demolitions,http://www.boxun.com/forum/201104/jubao/2620.shtml,http://www2.amnesty.org.uk/blogs/sms-action-network/free-chinese-housing-rights-activist-ni-yulan,
狗日 共产党,Dog days of the Communist Party,"son of a bitch, Communist Party",,Communist Party of China (CPC) -- Criticism,,,
茉莉花 联盟,Jasmine Union,,calls for groups to come together in support of Jasmine Revolution,Jasmine Revolution,,,
天安门 坦克,Tiananmen Tank,,Refers to June 4 1989,Tiananmen Square (June 4 1989),,,
和谐拯救危机,Harmony rescue crisis,Harmony will rescue [us] from crisis,"CCTV television special about environmentalism, global crises, and spiritualism; pro-China/Confucian program, unclear why on this list; perhaps the title was picked up by netizens and used ironically",Context unclear,https://www.youtube.com/watch?v=ru73PhgcwIs,http://www.baike.com/wiki/%E5%92%8C%E8%B0%90%E6%8B%AF%E6%95%91%E5%8D%B1%E6%9C%BA,
纪念本拉登君,Memorial Osama bin Laden Jun,Remember Osama bin Laden,,Context unclear,,,
末世拍案惊奇,Eschatology of surprises,The last part of 'Slapping the Table in Amazement',series of short stories; title is a reference to series of stories by Ling Mengchu,Context unclear,https://en.wikipedia.org/wiki/Slapping_the_Table_in_Amazement,,
海伍德与谷有染,Haywood had an affair with Google,Haywood and Gu had an affair,"referring to the alleged romance between dead British national Neil Haywood and Gu Kailai, Bo's wife, who was eventually convicted for his murder",Bo Xilai Scandal,,,
北戴河督抚朝圣驾,Beidaihe governors towards Shengjia,,some sort of fictional short story written in 2011,Context unclear,http://www.lilibbs.com/textread.php?textid=288188&s=87e02777e7c051dbd4ecd94288f5a290,,
西藏 寺庙 领袖像,Tibetan temple leaders like,"Tibet, temple, leader's appearance","in 2011, CCP made effort to assimilate Tibetan regions by having them hang pictures of CCP leaders in their temples and other patriotic tasks",Ethnic Groups -- Tibetan,http://forum.dwnews.com/threadshow.php?tid=917255,http://news.163.com/12/0124/19/7OIAV2J300014JB6.html,
千古兴亡 亡于一相,Ages rise and fall dead in a phase,,"Refers to essay/book by Zhang Hongliang, a noted leftist scholar and writer known for his strong views",Dissident / Activist,https://en.wikipedia.org/wiki/Zhang_Hongliang,,
8964,8964,,Refers to June 4 1989,Tiananmen Square (June 4 1989),,,
浙江签单哥,Zhejiang signing brother,Zhejiang's receipt-signing Brother,"Zhejiang Vice minister of propaganda was accused in  by netizens of charging over 54 million yuan in expenses to his public office and illegally embezzling hundreds of millions in other corrupt activities. Netizens posted images of his receipts, which contained his signature, thus meriting him the name of ""Zhejiang's receipt-signing-Brother.""",Corruption Scandals,http://home.jxnews.com.cn/thread-1472794-1-1.html,http://www.baike.com/wiki/%E9%B2%8D%E6%B4%AA%E4%BF%8A,
警察杜平,Police Dupin,Police Du Ping,"On Nov 7, 2012 in Xuanen county in Hubei province, a rural pedicab driver accidentally ran into a woman, who ws slightl injured. A cop named Duping came and harassed the driver. In the subsequent week, the cop continued to harass the driver, beating up his family. The driver called the police for help, to no avail. Enraged, he stabbed Du Ping with a knife. The villagers back the driver and criticize the cop for abuse of power.",Victims of Crime / Violent Criminals,http://www.rfa.org/cantonese/news/police_killed-11152012104028.html,http://weibo.com/2695892433/z59IyAOkx,
宣恩杀人现场,Xuan'en murder scene,,See above,Victims of Crime / Violent Criminals,,,
叶迎春内衣,Ye Yingchun underwear,,"Ye is a CCTV-4 newsanchor. I guess people have been posting gotcha photos of her accidentally showing undergarments (e.g. her bra or slip sliding down her shoulder, but no skin exposed) while she's on air.",Prurient Interests,http://ent.haxiu.com/2011110571304_2.html,http://ent.haxiu.com/2011110571304_3.html,
孙国相拆迁,Sun Guoxiang demolition,,"Sun Guoxiang, the current consulate general for China to the U.S. in NY, once demolished numerous shantytowns in Liaoning Province in 2005. He writes about his experiences in a translated chapter (linked to in source column): ""Demolition is always seen as 'the most difficult issue.' Some residents did not understand the policies; some asked for increased compensation; some did not have house ownership... The Committee of the Party and the government of Liaoning not only made the demolition policies to protext the public wealth, but also to provide a practical solution to the problem"" (69).",CPC member / Gov official,http://books.google.com/books?id=W2V910yTEusC&pg=PA70&lpg=PA70&dq=sun+guoxiang+demolition&source=bl&ots=GhF7CpMhu1&sig=QV-WJ9-hFKs_kCxwekh2KOSra40&hl=en&sa=X&ei=YR9rUu-LDtHMkQfM9YGYAQ&ved=0CDIQ6AEwAQ#v=onepage&q=sun%20guoxiang%20demolition&f=false,http://blockedonweibo.tumblr.com/post/65549796952/sun-guoxiang-demolition-and-relocation,
中央领导内幕,Inside the central leadership,Central leadership insider,"A general term for someone with inside info about the CCP, with the implication being they are revealing something secretive or scandalous.",Corruption Scandals,,,
盘锦二表哥姜伟华,Panjin two cousin Jiang Weihua,Panjin Watch Brother Jiang Weihua,"Sept 2012: A farmer in Panjin, Liaoning Province refused to give up his land to the government. Epoch Times reports: ""Jiang Weihua, effectively ordered Wang’s death. Jiang is also head of the local Public Security Bureau. According to Liang, he said words to the effect of: “If he does not cooperate, if he dares to oppose the government, what’s the big deal about killing a few? Shoot! The compensation is only a few hundred thousand, isn’t it? I’ll take care of all that, and the central government doesn’t have the authority to intervene.”""",Victims of Crime / Violent Criminals,,,
盘锦开枪,Panjin shot,,see above,Victims of Crime / Violent Criminals,http://www.theepochtimes.com/n2/china-news/chinese-police-shoot-peasant-who-tried-to-defend-home-295973.html,,
只身挡坦克,Tanks block alone,,Tank man,Tiananmen Square (June 4 1989),,,
叶迎春,Ye Yingchun,,The CCTV-4 newsanchor mentioned above.,Media -- Chinese Pro-government Media,,,
爆料不孝女,Not broke Daughters,Expose: unfilial daughter,"Might refer to three different cases? 1) In Jan 2012, a girl who was kicked out of her house(?) claimed her father had sexually abused her, and his father was taken in for questioning. 2) A teenage girl was caught on tape slapping her verbally abusive mother and police had to be called in to restrain the girl. 3) Most likely refers to the source in row below",Context unclear,http://www.dailymotion.com/video/xnl3g4_unfilial-daughter-falsely-accuse-father-of-sexual-abuse_news,http://www.northnews.cn/2013/0522/1114236.shtml,http://www.cutv.com/guonei/2013-5-16/1368713294412.shtml
爆料朱熹后人 竟是政协委员,CPPCC members actually broke the descendants of Zhu Xi,"Expose: Zhu Xi's descendants, unexpectedly CPPCC committee members",[No idea what the news article in source is about],Communist Party of China (CPC) -- Criticism,http://bbs.oeeee.com/thread-8527618-1-1.html,http://blockedonweibo.tumblr.com/post/65604310793/expose-unfilial-daughter-bao-liao-buxiao,
人大附中择校费杨东平,Yang Dongping RDFZ choice fees,Renmin High School Early Choice fees; Yang Dongping,"Renmin High School decided to rise its early choice fees, limiting the chance that poor, academically-qualified students would be able to attend one of Beijing's most prestigious high schools. Education scholar Yang Dongping is a critic of such fees and is in favor of more equality between the classes with regard to education.",Communist Party of China (CPC) -- Criticism,http://edu.qq.com/a/20121106/000231.htm,http://www.businessweek.com/articles/2013-04-04/chinese-education-the-truth-behind-the-boasts,http://usa.chinadaily.com.cn/china/2012-09/07/content_15741212.htm
帝都 实行宵禁,Royal Park curfew,Imperial Capital implements night curfew,"There's also a Royal Park Hotel in HK known as 帝都, but don't think it refers to that. Maybe refers to the supposed threat of curfew implemented on Beijing to curtail partying during the 2008 Olympics?",2008 Olympics,http://www.nbcnews.com/id/26168079/#.Umsvwvmsim4,http://blockedonweibo.tumblr.com/post/65622526826/imperial-capital-implements-night-curfew,
11月5日至15日 出租车禁行,November 5 to 15 taxi forbidden line,Nov 5 to 15 taxis banned,[No idea],Context unclear,,,
江泽民被控制,Jiang is controlled,Jiang Zemin has been controlled,see below,CPC member / Gov official,,,
江系军委被撤,Department of the Central Military Commission Jiang was withdrawn,Jiang [System?] withdraws from Military Commission,"Epoch Times reports that Jiang Zemin's office in the Military Commision was shut down in Nov 2012 before the promotion of this current generation of leaders, perhaps as a way to wrest control of the political system away from him.",CPC member / Gov official,http://www.theepochtimes.com/n2/china-news/central-military-commission-closes-jiang-zemins-office-reports-paper-310396.html,,
奥数叫而不停,Mathematical Olympiad called and kept,Math Olympiad not stopped,"Government tried to reduce stress on students and curb profiteering by test prep companies by implementing a restrriction on prestigious high schools using Math Olympiad scores as part of their admissions qualifications. Schools and parents have tried to skirt the measure by renaming it something else, but others argue it levels the playing field for students who can't afford it.",Communist Party of China (CPC) -- Criticism,http://www.chinadaily.com.cn/china/2012-09/07/content_15741191.htm,http://news.xinhuanet.com/edu/2012-10/31/c_113559709.htm,
张蓓莉200万耳环,"Zhang Beili 2,000,000 earrings",Zhang Peili 2 million RMB earrings,Wen Jiabao's wife has been fingered as extremely corrupt. See NYT expose. Not sure what the 2 million RMB figure refers to. There are a few stories about her wearing/buying jewelry in Taiwan that cost 2 million yuan.,Relatives / Associates of Government Officials,http://www.nytimes.com/2012/10/26/business/global/family-of-wen-jiabao-holds-a-hidden-fortune-in-china.html?_r=0,http://cdjp.org/Articles/article.php/1113,
维族 砍人,Uighur knives to injure,Uyghurs stab people,"Refers to to various attacks by alleged Uyghur terrorists wielding knives. Major incidents took place in 2008, 2011, and 2013, among others.",Uyghur,http://dailynews.sina.com/gb/tw/twchn/bcc/20110801/23402651355.html,http://en.wikipedia.org/wiki/2011_Kashgar_attacks,http://en.wikipedia.org/wiki/Terrorism_in_China
和田 暴乱,Wada riot,,Ethnic riots between Uyghurs and security forces in 2011 and 2013.,Uyghur,http://www.nytimes.com/2013/06/29/world/asia/violence-erupts-anew-in-volatile-western-china-region.html,http://www.farwestchina.com/2011/07/what-really-happened-in-the-hotan-riots.html,
江诗丹顿 表叔,Vacheron Constantin uncle,,Watch brother,Corruption Scandals,http://world.time.com/2012/10/10/bringing-down-watch-brother-chinas-online-corruption-busters-tread-a-fine-line/,,
表叔 陈应春,Uncle Chen Yingchun,,[Not sure. Chen Yingchun is Shenzhen's vice-mayor],Context unclear,http://www.sz.gov.cn/cn/sz/fsz/cyc/,,
温家 资产700亿,Winchester 70 billion of assets,Wen Jiabao assets 70 billion,Not sure what the 70 billion refers to,Corruption Scandals,,,
万鄂湘亚视,Wan as the E Xiangya,"Wan Exiang, Asia Television",Sex scandal with professor/politician?,Corruption Scandals,http://www.cctvxf.com/2012/10/focus_26_1319.html,http://candylulu007.blog.163.com/blog/static/1361752642012926115639347/,http://weibowatch.com/%E4%B8%87%E9%84%82%E6%B9%98%E4%BA%9A%E8%A7%86-wan-exiang-asia-television-wan-exiang-yashi-refers-to-968/
温家宝夫妇,Wen couple,Wen Jiabao husband-and-wife,Reference to wife's large wealth,Wen Jiaobao family wealth scandal,,,
总理家人 隐秘,Prime family secret,,Wen Jiabao=former premier; his family secret is where their wealth comes from and where it's hidden.,Wen Jiaobao family wealth scandal,,,
李正源李刚,Lizheng Yuan Gang,Li Zhengyuan; Li Gang,"Two unrelated scandals involving people named Li, cars, and political power. First was a son of a police chief who beat up a traffic cop. Second is the name of an official whose son recklessly drove into and killed a pedestrian, then tried to escape punishment by saying his father was Li Gang.",Corruption Scandals,http://www.rfa.org/english/news/china/cop-10252012164134.html,http://en.wikipedia.org/wiki/Li_Gang_incident,
交警夏坤,Summer traffic police kun,Traffic cop Xia Kun,Xi Ku ws the police officer who was beat up by Li Zhenghuan (above),Victims of Crime / Violent Criminals,http://pinglun.eastday.com/p/20121219/u1a7072196.html,http://www.rfa.org/english/news/china/cop-10252012164134.html,
姜伟华名表,Jiang Weihua watches,,See Jiang Weihua above. Watch enthusiasts documented him wearing very expensive watches and questioned how a local official had the money to afford such luxuries (just like Watch Brother Yang Dacai).,Corruption Scandals,http://www.epochtimes.com/gb/12/9/30/n3694902.htm,http://chinadigitaltimes.net/space/Watch_Brother,
