word,human_translation,machine_translation,clients
21年六四,,21 June 2004,YY
21年广场事件,,Square incident 21 years,YY
21年学潮,,21 years of student protests,YY
21年学生潮,,21 years student influx,YY
21年萧瀚,,21 years Xiaohan,YY
六四21year,,Sixty-four 21year,YY
21年前柳丝,,21 years ago Stir,YY
64事件21周年,,21 64 anniversary events,YY
某事件21周年,,21 anniversary of an event,YY
21周年大游行,,21 Anniversary Parade,YY
6四21周年,,Six four 21 anniversary,YY
柳丝21周年,,Stir 21 anniversary,YY
21年前6月4日,,"21 years ago, June 4",YY
tanktiananmen,,,YY
89tiananmen,,,YY
64tiananmen,,64tiananmen,YY
tiananmen六四,,tiananmen sixty-four,YY
tiananmen八九,,tiananmen eighty-nine,YY
tiananmenuprising,,,YY
massacretiananmen,,,YY
改革的历程港版,,Hong Kong version of the reform course,YY
pdf改革的历程,,pdf reform course,YY
pdf改革历程,,pdf reform process,YY
改革历程迅雷,,Thunder reform process,YY
电驴改革历程,,EDonkey reform process,YY
改革历程中文版,,Chinese version of the reform process,YY
改革历程前领导人,,Former leader of the reform process,YY
秘密回忆录前领导人,,Former leader of the secret memoirs,YY
贰拾陆肆,,Hundred and sixty thousand Lusi,YY
二十陆肆,,Twenty Lusi,YY
20陆肆,,20 Lusi,YY
六肆事件,,Six store events,YY
陆四运动,,Lu four sports,YY; LINE
陆四真相,,Lu four truth,YY
风波陆四,,Lu four storm,YY
6点40罗京,,6:40 Luo Jing,YY
支联会烛光晚会,,Alliance candlelight vigil,YY
维园烛光晚会,,Victoria Park candlelight vigil,YY; LINE
天安门阵压大学生,,Tiananmen array pressure Students,YY
韩光长城外,,Han Guang outside the Great Wall,YY
纪念89天安门,,Tiananmen Square to commemorate 89,YY
纪念六4死难者,,To commemorate the victims of six 4,YY
六4誓愿,,Six four vows,YY
爸舅年,,Dad uncle year,YY
5月35,,May 35,YY
10*2年前,,10 * 2 years ago,YY
二0年前,,20 years ago,YY
支持六四,,Support sixty-four,YY
21周年忌日参考性建议,,21 anniversary of his death reference suggestions,YY
六四光荣的抗争,,Sixty-four glorious struggle,YY
六四自由花,,Sixty-four spend freely,YY
六四杨建利,,Yang Jianli sixty-four,YY
1989protest,,,YY
1989democracy,,,YY
60小时绝食静坐,,60 hours hunger strike sit-in,YY
北京64学生事件图片,,Beijing 64 student event picture,YY
北京64学生事件真相,,Beijing 64 students the truth,YY
64学生事件视频,,64 students in the event video,YY
毋忘赵紫阳,,Not to forget Zhao Ziyang,YY
中青网现公开信,http://www.ntdtv.com/xtr/gb/2009/09/18/a350225.html.-%E3%80%90%E4%B8%AD%E5%9B%BD%E7%A6%81%E9%97%BB%E3%80%91%E4%B8%AD%E9%9D%92%E7%BD%91%E7%8E%B0%E5%85%AC%E5%BC%80%E4%BF%A1-%E5%86%9B%E4%BA%BA%E8%A6%81%E6%B1%82%E5%B9%B3%E5%8F%8D%E5%85%AD%E5%9B%9B.html,Youth Net is now open letter,YY
赵紫阳反思系列片,,Zhao reflection series,YY
从赵紫阳看中共与良心,,From the Chinese Communist Party Zhao Ziyang and conscience,YY
邓小平8964,,Deng Xiaoping 8964,YY
韩东方领袖,http://zh.wikipedia.org/wiki/%E9%9F%A9%E4%B8%9C%E6%96%B9,HAN leaders,YY
韩东方学运,,HAN student movement,YY
20周年韩东方,,20th anniversary of the HAN,YY
20周年6月4日,,20th anniversary of the June 4,YY
19894June,,,YY
天安门事jian,,Tiananmen thing jian,YY
一九八九年的政治事件,,Political events of 1989,YY
六四学声运洞,,Sixty-four Xueshengyundong,YY
六四学生请愿,,Sixty-four student petition,YY
六四学子的鲜血,,Sixty-four students of blood,YY
1989liusi,,,YY
liusi学生运动,,liusi student movement,YY
陆肆洞乱,,Lusi cave chaos,YY
64天安门事变,,64 Tiananmen Incident,YY
198964学潮,,"198,964 student protests",YY
捌玖年的政治风波,,Nine years of political turmoil Ba,YY
几十万学生工人来到天安门前广场,,Hundreds of thousands of workers came to the Tiananmen Square student,YY
坦克从大学生身上无情的碾过,,Tanks from college students who ruthlessly run over,YY
解除报禁耀邦不朽,,Daily lift ban Yaobang immortal,YY
天安门挡坦克,,Tiananmen block tanks,YY
陆月泗日,,Luyuesiri,YY
历史的大爆炸事件全景实录,http://www.rfa.org/mandarin/pinglun/huping/huping-12092009135120.html/,History of the Big Bang event panoramic Record,YY
日记广场上的共和国,,Republic Square diary,YY
事件中的戒严部队,,Events martial law troops,YY
六四网上游行,,Sixty-four online Parade,YY
21周年网络大会,,21 Annual Network Conference,YY
坦克进城21年,,Tanks city 21 years,YY
tianandoor事件,,tianandoor event,YY
TAM事件21周年,,TAM 21 anniversary events,YY
二十一周年封网,,Twenty-one anniversary censorship,YY
黄雀行动日记,"Operation Yellowbird or Operation Siskin (Chinese: 黃雀行動), was a Hong Kong-based operation to help the Chinese dissidents who participated inTiananmen Square protests of 1989 to escape arrest by the PRC government by facilitating their departure overseas via Hong Kong. http://en.wikipedia.org/wiki/Operation_Yellowbird",Operation Yellowbird diary,YY
救300民运人士,Likely related to operaton yellow bird,Save 300 pro-democracy activists,YY
血染天安门,,Bloody Tiananmen,YY
木樨地38小时,,Alba 38 hours,YY
38小时人民日报,,38 hours Daily,YY
64二十一年祭,,64 twenty-one offering,YY
血路1989,,Trail 1989,YY
89北京戒严,,89 Beijing martial law,YY
改革历程港版,,Hong Kong version of the reform process,YY
陆肆运动,,Lusi sports,YY
八八相乘事件,,Eighty-eight multiplied event,YY
回顾六肆,,Recalling the six store,YY
烛光照维园,,According to Victoria Park candlelight,YY
维圆烛光,,Dimensional circle candlelight,YY
香港20万人烛光纪念,,"Hong Kong 200,000 Candlelight Memorial",YY
香港15万人烛光纪念,,"Hong Kong 150,000 Candlelight Memorial",YY
八九关键词,,Eighty-nine Keywords,YY
天安门文化衫游行公告,Six four,Tiananmen shirt parade announcement,YY
天安门外六部口,,Tiananmen Square outside the six ports,YY
平反柳丝,,Stir vindicated,YY
平反陆肆,,Vindication Lusi,YY
平反sixfour,,Vindication sixfour,YY
平反六four,,Vindication of six four,YY
平反six4,,Vindication six4,YY
中共天安门清场,,CCP cleared Tiananmen Square,YY
中共清场日记,,CCP cleared diary,YY; LINE
六四薪火相传,,Sixty-four Passing the torch,YY
吾尔开希入境,,Wuerkaixi entry,YY
中国黑暗事件,,Chinese dark events,YY
64维多利亚,,64 Victoria,YY
六四请愿,,Sixty-four petition,YY
赵zi阳回忆录,,Yang Zhao zi memoirs,YY
赵紫阳为民运背黑锅,,Zhao Ziyang made a scapegoat for the pro-democracy movement,YY
6421周年游行,,6421 anniversary parade,YY
年轻艺术家六四展,,Exhibition of Young Artists sixty-four,YY
年青艺术家六四展,,Exhibition of Young Artists sixty-four,YY
后六四文化祭,,After sixty-four Cultural Festival,YY
六四文化传播协会,,Sixty-four Cultural Communication Association,YY
平反六四公投,,Vindication referendum,YY
邓小平镇压视频,,Deng Xiaoping repression video,YY
封从德日记,,Letters from Germany diary,YY
89年天安门大虐杀,,1989 Tiananmen Square Massacre,YY
2022年平反六四,,2022 vindication,YY
六四遗孤,,Sixty-four orphans,YY
六四受害者,,Sixty-four victims,YY
谈六四吕秀莲,,Annette talk sixty-four,YY
六四良心犯,,Sixty-four prisoners of conscience,YY
六四人物,,Sixty-four figures,YY
香港民运大游行,,Hong Kong's pro-democracy march,YY
x事件21周年,,x 21 anniversary events,YY
中国64真相,,China 64 Truth,YY
89历史真相,,89 historical truth,YY
历史的伤口8964,,Historical wounds 8964,YY
27军镇压,,27 military repression,YY
89之民主女神,,89 of the Goddess of Democracy,YY
流血事件tiananmen,,Bloodshed tiananmen,YY
六4四事件,,Six four four events,YY
liusi89,,,YY
xuechao政治风波,student upheavel political storm,xuechao political storm,YY
维权网纪念二十一周年公开声明,,CHRD commemorate the twentieth anniversary of a public statement,YY
天an门血腥清场内幕,,Days of bloody door cleared an insider,YY
赵紫阳集团,,Zhao Ziyang Group,YY
赵zi阳集团,,Zhao Yang Group zi,YY
温家宝阻止赵紫阳,,Premier Zhao Ziyang stop,YY
六四和解条件,,Sixty-four settlement terms,YY
赵紫阳天安门谈话完整版,,Zhao Tiananmen conversation full version,YY
审查赵紫阳文件将曝光,,Zhao document review exposure,YY
海外六四游行,,Overseas sixty-four parade,YY
香港六四大游行,,"Hong Kong, June 4 parade",YY
日本六四游行,,Japan sixty-four parade,YY
六四万人游行,,Sixty-four million march,YY
绝食64小时,,64 hours hunger strike,YY
流血六四,,Bleed sixty-four,YY
事件民间白皮书,,Event folk White Paper,YY
胡耀邦封杀,,Hu Yaobang ban,YY
六四纪录片,,Sixty-four documentary,YY
六四白皮书,,Sixty-four White Paper,YY
89年学运,,1989 student movement,YY
中共历史的见证司马璐回忆录,,Communist historical witness Lu Sima memoirs,YY
六四血卡,,Sixty-four blood card,YY
新华社前高层披露六四内幕,,Xinhua News Agency Disclosure sixty-four former senior insider,YY
铿锵集走过二十一年视频,,Common Sense walked twenty-one video,YY
屠杀与中国奇迹,,Holocaust and the Chinese miracle,YY
木樨地坦克,,Sweetclover tank,YY
89天安门运动十五周年纪念文集,,89 fifth anniversary of the Tiananmen movement anthology,YY
纪念民运,Commemorate the protests,Memorial pro,YY
陆肆屠城,,Lusi massacre,YY
六部口坦克,,Six tanks mouth,YY
六部口屠杀,,Six mouth massacre,YY
六四良心,,Sixty-four conscience,YY
六四军人,,Sixty-four soldier,YY
赵紫阳自传,,Zhao autobiography,YY
民主党六四Tshirt,,Democrats sixty-four Tshirt,YY
赵紫阳秘密录音,,Zhao Ziyang secret recordings,YY
赵紫阳录音回忆,,Zhao Ziyang recording memories,YY
赵紫阳民运,,Zhao pro,YY
周舵绝食,,Zhou Duo hunger strike,YY
六四四君子,,Six hundred forty-four gentleman,YY
21年前的6月4号,,June 4 21 years ago,YY
周舵血腥的黎明,,Zhou Duo bloody dawn,YY
悼念六四亡魂,,June 4th memorial Revenant,YY
64烛光悼念,,64 candlelight vigil,YY
二十一周年烛光悼念,,Twenty-one anniversary candlelight vigil,YY
二十一周年大游行,,Twenty-one anniversary parade,YY
平反六四大游行,,Vindication Parade,YY
64民主大游行,,64 Democracy Parade,YY
悼念六四英灵,,June 4th memorial souls,YY
赵紫阳现身广场,,Zhao appeared Square,YY
六四伤残者群体,,Sixty-four the disabled population,YY
坦克碾压大学生,,Tanks rolling Students,YY
中国大陆人权促进会,,Mainland China Council for the Promotion of Human Rights,YY
六四永远的伤痕,,Sixty-four scars forever,YY
ziyang回忆录,(Zhao) Ziyang's memoir,ziyang memoirs,YY
89武力镇压,,89 armed suppression,YY
89见证最后的美丽,,89 to witness the beauty of the final,YY
89年六四镇压学生,,89 students in the June 4 crackdown,YY
八九年血腥镇压事件,,2089 bloody crackdown,YY
6月4日中共军队血腥镇压,,June 4 bloody crackdown on Chinese military,YY
王丹要回家运动,Wang Dan was a 64 student leader,Wang Dan to go home sports,YY
事件廿一周年,,Twenty anniversary event,YY
纪念事件二十一周年,,Commemorate the twentieth anniversary of the event,YY
阳软禁中的谈话,,Yang under house arrest in conversation,YY
阳的最后思考,,Yang finally thinking,YY
1989年6月3日中共镇压,,"June 3, 1989 Communist repression",YY
天安门文件八老下令,,Tiananmen Papers eight old ordered,YY
密件曝光广场谈话,,Exposure confidential conversation Square,YY
纪念六四二十一周年,,Commemorate the twentieth anniversary of Tiananmen,YY
1989RecallofMemory,,,YY
memoryof1989Tiananmen,,,YY
天安门记忆的呼唤,,Call Tiananmen memories,YY
记忆的呼唤1989,,Call 1989 memory,YY
tiananmen1989纪录片,,tiananmen1989 documentary,YY
民主女神之歌,,Song of the Goddess of Democracy,YY
天安门母亲子霖,,Tiananmen Mothers sub-lin,YY
谴责中共暴力镇压,,Condemns the violent repression of the CCP,YY
六四自辩书,,Sixty-four self-defense book,YY
重新评价六四,,Reappraisal sixty-four,YY
89年广场上的鲜血,,Blood on the square 89 years,YY
89年运动正名,,89-year campaign to name,YY
六四公开信,,Sixty-four open letter,YY
趙紫陽六四自辯書,,Zhao sixty-four self-defense book,YY
透视中国六四,,Perspective Chinese sixty-four,YY
六四真相与和解的建议书,,Tiananmen recommendations of the Truth and Reconciliation,YY
北京屠城,,Beijing massacre,YY
天安门64,,Tiananmen Square 64,YY
8964风波,,8964 storm,YY
1989序,,1989 Order,YY
见证六四,,Witness sixty-four,YY
六四绝食书,,Sixty-four hunger book,YY
回忆六四,,Memories sixty-four,YY
天安门时报,,Tiananmen Times,YY
民运连环抄家,,Pro serial raid,YY
王丹公开信,,Wang Dan open letter,YY
三十八军军长徐勤先,,Thirty-eight Army commander Xu Qinxian,YY
六四戒严部队,,Sixty-four martial law troops,YY
胡耀邦平反,,Hu Yaobang vindicated,YY
1989见证最后的美丽,,1989 witnessed the last of the beautiful,YY
89政治学潮,,89 political student movement,YY
北京198964坦克,,Beijing 198 964 Tank,YY
LiuSi冤魂,,LiuSi ghosts,YY
LiuSi情结,,LiuSi Complex,YY
八九运动定性,,1989 movement qualitative,YY
六月四日被定为国庆日,,June 4 was designated as the National Day,YY
八x八事件,,Eight x eight events,YY
89年坦克车把那些大学生辗死,,Students 89 years of tanks rolling handlebar those dead,YY
党用坦克车把他辗死,,Party handlebar with tanks rolling his death,YY
八九民哳I袖王丹,,Eighty-nine China Zha I sleeves Wang Dan,YY
六四挡坦克,,Sixty-four block tanks,YY
89年的tiananmen事件,,89 years tiananmen event,YY
八九六四中国的忌日,,Eight thousand nine hundred sixty-four the anniversary of China,YY
八九六四学生市民求自由,,Eight thousand nine hundred sixty-four people seeking freedom students,YY
血祭长安街,,Blood Sacrifice Chang'an Avenue,YY
在长安街天安门非法集会,,Unlawful assembly in Tiananmen Square Chang'an Avenue,YY
共产党面临的是亡党亡国的巨大危机,,Communist Party is facing a huge crisis Wangdangwangguo,YY
一个目击者白勺广场日讠己,,An eyewitness white spoon square Day Yan has,YY
以南犬血白勺方式纟己念阝击四,,Canine blood white spoon way south Si Fu had read hit four,YY
20周年纟己念氵舌云力建讠义,,20th anniversary of the Si Rui Nian tongue has power to build cloud Yan Yi,YY
89年戒严部队第38集团军,,89 years of martial law troops 38th Army,YY
89年天俺门,,89 days I doors,YY
被高自联奉为救世主的女神像被推到了,,Is regarded as the savior of the Independent Student Alliance pushed to the goddess,YY
6泗学潮,,6 Si student protests,YY
89年压死大学生,,Students crushed 89 years,YY
邓匪做恶在陆肆,,Deng evil bandit in Lusi,YY
1989年tiananmen的那件事,,1989 tiananmen that matter,YY
1989年的学生政治风波,,1989 students in political turmoil,YY
六四決要平反,,Sixty-four never going to be rehabilitated,YY
1989demonstrationsinTiananmen,,,YY
陆肆动乱,,Lusi unrest,YY
89年4月至6月中国发生严重政治风波,,89 April to June China serious political crisis,YY
1989年北京实行戒严,,Beijing to impose martial law in 1989,YY
89年VIIV事件,,89 years VIIV event,YY
一九八九年北京民,,1989 Beijing China,YY
中华1989六四,,China 1989 sixty-four,YY
四面楚歌是独裁的剑,"[song lyric in Hou Dejiang song, participated in June 4 protests]",Embattled authoritarian sword,YY
当残共平九,,When the total residue level nine,YY
六四文化衫,,Sixty-four shirt,YY
8九学潮,,8 nine student movement,YY
89血潮,,89 Blood Tide,YY
北京六月屠杀,,"Beijing, June massacre",YY
香港有110万人的大型悼念活动,,There are 110 million people in Hong Kong a large memorial,YY
TwentyyearsafterTiananmen,,,YY
19把9年柳丝,,19 9 years Stir,YY
为无辜逝去的童鞋默哀,,Shoes for the innocent dead silence,YY
yi9八9年,,yi9 eight nine years,YY
liu月4曰,,liu said May 4,YY
yi9八9年liu月4曰,,yi9 eight nine years liu said 4 months,YY
20年前广场的真相,,"Square 20 years ago, the truth",YY
反FB反官倒运动,,Anti-anti-profiteering campaign FB,YY
像10年又10年前的英雄们致敬,,Like 10 years and 10 years ago to pay tribute to the heroes,YY
six4,,,YY
二十周年祭,,On the 20th Anniversary,YY
８九年の天門事,,8 There are nine things Tianmen,YY
明天我們都是白衣人,,Tomorrow we are white people,YY
北京城的枪声响了一夜,,Beijing guns rang one night,YY
20年前TIANANMEN,,20 years ago TIANANMEN,YY
流月4日,,Flow January 4,YY
被坦克活活压死,,Tanks were crushed to death,YY
为20年以前死难的人们哀悼,,"20 years ago, people mourned the dead",YY
88事件20周年,,88 20th anniversary event,YY
壹玖捌玖陆肆,,Jiu Jiu Ba Lusi,YY
二十年前的陆肆SJ,,"Twenty years ago, Lusi SJ",YY
硫死纪念日,,Sulfur death anniversary,YY
廿年前,,Twenty years ago,YY
八平方二十周年的时候,,Eight times the square of the twentieth anniversary,YY
三十八小时的挣扎,,Thirty-eight hours of struggle,YY
38小时的挣扎,,38 hours of struggle,YY
陆肆游行,,Lusi parade,YY
陆肆烛光晚会,,Lusi candlelight vigil,YY
追究屠城责任,,Investigated the massacre responsibility,YY
十五万群众举行烛光晚会,,One hundred and fifty thousand people held a candlelight vigil,YY
天按门血案,,Day massacre by the door,YY
血洗TIANANMEN,,Bloodbath TIANANMEN,YY
某事件20周年,,20th anniversary of an event,YY
x事件20周年,,20th anniversary of the event x,YY
1989年的六月四日,,4 June 1989,YY
中文版改革历程,,Chinese version of the reform process,YY
20周年烛光悼念活动,,20th anniversary of the candlelight memorial,YY
6月4日晚8时在香港维多利亚公园举行,,June 4 8:00 pm at Victoria Park in Hong Kong,YY
香港维多利亚公园举行六四,,Held in Victoria Park in Hong Kong Tiananmen,YY
六四的20周年祭,,20 June Fourth Anniversary,YY
90年代初国内严重政治风波,,Early 1990s serious domestic political turmoil,YY
1989年国内政治风波,,1989 domestic political turmoil,YY
20年钱的政治风波,,20 years of political turmoil money,YY
6月x4日清晨在天安门广场清场行动中,,On the morning of June x4 clearance operations in Tiananmen Square,YY
赵纸阳的回忆录,,Yang Zhao memoirs paper,YY
八九年赴京执行戒严任务,,2089 implementation of martial law mission to Beijing,YY
十五名香港学联成员64小时绝食,,Fifteen members of the Federation of Hong Kong 64 hours hunger strike,YY
铜锣湾时代广场外连续绝食64小时,,"Times Square, Causeway Bay 64 hours of continuous hunger strike",YY
北京学生绝食活动,,Beijing student hunger strike,YY
88民运,,88 pro,YY
198空格9民运,,198 spaces 9 pro,YY
64北京戒严,,64 Beijing martial law,YY
89云力乱,,89 cloud chaos force,YY
6四20周年,,6 four 20th anniversary,YY
8平方纪念日,,8 square Day,YY
民运20周年,,20th anniversary of the pro-democracy movement,YY
20yearsago,,,YY
ershinianqian,,,YY
一九八九六月四号,,One thousand nine hundred eighty-nine June 4,YY
8的平方快到了,,8 square coming,YY
64民运,,64 pro,YY
liusi民运,,liusi pro,YY
八九年liusi,,2089 liusi,YY
六四日记,,Sixty-four diary,YY
紫阳录音,,Ziyang Recording,YY
镇压八九,,Repression eighty-nine,YY
紫阳幽禁,,Ziyang confinement,YY
8的平方就快到了,,8 square just around the corner,YY
beijingzhengzhifengbo,,,YY
执行jieyan任务,,Jieyan task execution,YY
春夏之交的TAM广场,,Spring and summer of TAM Square,YY
天安M事件,Tiananmen square,M Cheonan incident,YY
junefour20周年,,junefour20 anniversary,YY
纪念890604,May 35th,Memorial 890 604,YY
贪克压雪胜,,Greedy grams pressure snow wins,YY
64北京大屠杀,,64 Beijing massacre,YY
89年大学生动乱,,Students 89 years of turmoil,YY
天安门民主大学校,,Tiananmen democracy School,YY
51月4日,,4 March 51,YY
吾尔和谐开希,,Ur harmony Kaixi,YY
陆肆20周年,,Lusi 20th anniversary,YY
1989年北京学生动乱事件,,1989 Beijing student unrest,YY
liusi20year,,,YY
4x5年前,,4x5 ago,YY
马上要64,,Soon to be 64,YY
纪念1989年中国天安门广场,,China in 1989 to commemorate the Tiananmen Square,YY
89年学生运动,,1989 student movement,YY
89年6月4号的记录片,,89 documentary on June 4,YY
1989年的政治風波,,1989 political turmoil,YY
1989天安门事变,,1989 Tiananmen Incident,YY
June4事件,,June4 event,YY
1989年64运动,,1989 64 sports,YY
1989年春夏zhi交,,1989 spring and summer zhi post,YY
64大学生运动,,64 Students Movement,YY
89Dong乱,,89Dong chaos,YY
89年政治学潮,,89-year political student movement,YY
1989的liusi天安门,,1989 Tiananmen liusi,YY
8964纪念日,,Memorial Day 8964,YY
六四国殇20周年,,Sixty-four War 20th Anniversary,YY
1989年六月3日晚些时候政府失去耐心,,"June 3, 1989 the government lost patience later",YY
为8964平反,,Vindication for 8964,YY
六四中死难的同胞们,,Sixty-four of fellow victims,YY
天安门的坦克压过学生,,Tiananmen tank pressure off students,YY
89民主事件,,89 Democratic events,YY
64天安门闹学潮,,64 Tiananmen student strike,YY
89镇压学生,,89 suppression of the student,YY
天an门事件,,Day an scandal,YY
北京六四民主运动研讨会,,Beijing sixty-four Democratic Movement Workshop,YY
向六四遇难者志哀,,Mourning the victims to sixty-four,YY
向六四事件中失去孩子,,To lose a child in June incident,YY
六四20周年之际,,Occasion of the 20th anniversary of the sixty-four,YY
六四日,,Sixty-four Day,YY
六四开枪性质严重,,Sixty-four shot of a serious nature,YY
六四的鲜血,,June Fourth blood,YY
为什么要谈六四,,Why should we talk sixty-four,YY
纪念六四天安门事件20周年,,To commemorate the 20th anniversary of the Tiananmen Incident.,YY
junefourth事件,,junefourth event,YY
十二名中共政坛老人呼吁为胡耀邦彻底平反,http://www.rfa.org/mandarin/yataibaodao/Hu_yaobang-04102009121426.html,Twelve elderly people called for Hu's Communist politics completely vindicated,YY
以逐渐达致平反六四,,To gradually achieve vindication,YY
胡耀邦逝世引发的天安门学潮,,Tiananmen student protests triggered by the death of Hu Yaobang,YY
在六月四号悲壮落幕,,In a tragic ending June 4,YY
八九年的大规模学运和民主运动,,Massive student movement and the pro-democracy movement in 1989,YY
六四血淋淋的坦克与大学生,,Sixty-four bloody tank and Students,YY
89年大学生学潮,,Students 89 years of student protests,YY
陆肆岷运领袖,,Lusi Min Yun leaders,YY
陆肆惨案,,Lusi massacre,YY
89年的反官倒学潮,,89 years of anti-profiteering student protests,YY
liu四屠殺,,liu four massacre,YY
52开希流亡笔记,,52 Kaixi exile notes,YY
八九年四月二十日学运,,"April 20, 2089 student movement",YY
秘密筹划借胡耀邦丧礼的机会把学运组织,,Secretly planning to take the opportunity of the student movement organized the funeral of Hu Yaobang,YY
二十周年烛光悼念集会,,Twentieth anniversary candlelight memorial rally,YY
请参加六四二十周年纪念活动,,Please participate in the commemoration of the twentieth anniversary of Tiananmen,YY
tian安门事件,,tian Tiananmen incident,YY
tiananmen事件20周年,,20th anniversary event tiananmen,YY
88风波的反思,,Reflection 88 storm,YY
六四时天安门广场的大学生,,Sixty-four when students in Tiananmen Square,YY
liusi镇压事件,,liusi crackdown,YY
捌九轶事,,Ba nine anecdotes,YY
捌九陆肆,,Ba nine Lusi,YY
拒绝带兵进北京镇压学生,,Suppression of the student refused to lead troops into Beijing,YY
赵紫阳六四后,,After June Fourth Zhao Ziyang,YY
六四底层列传,,Sixty-four underlying Biography,YY
关注64暴徒还他们一个光荣的定位,,They are also concerned about the 64 mob a glorious location,YY
因64遭判刑的人员,,Because 64 people were sentenced,YY
被共产党和民运们所抛弃的群体,,Communist Party and the pro-democracy movement have been abandoned by the group,YY
光荣属于北京市民暴徒,,Glory belongs to the people of Beijing thug,YY
天安门广场遭射杀者,,Who was shot and killed in Tiananmen Square,YY
挡在坦克前阻止坦克离开,,Stand in front of tanks to prevent the tanks leave,YY
挥舞旗帜遭坦克碾压者,,Tanks were rolling by waving flags,YY
中国劳动党,,Chinese Labor Party,YY
TIANANMEN惨案,,TIANANMEN massacre,YY
坦克车碾上天安门广场,,Tanks crushed the Tiananmen Square,YY
进入北京执行戒严任务,,Into the implementation of martial law in Beijing mission,YY
邓小平架空胡跃帮,,Overhead HU Yue Deng Xiaoping help,YY
89年共产党出面武力镇压暴乱学生,,89 years of the Communist Party came forward force to suppress student riots,YY
六四后邓小平奋起反左,,After Deng Xiaoping's rise to the anti-Left sixty-four,YY
六四天安门学生运动,,Tiananmen student movement,YY
89年那场风波,,That 89-year storm,YY
六四戒严军队,,Sixty-four martial law troops,YY
八九年64,,2089 64,YY
六四的坦克,,June Fourth Tank,YY
天安门绝食,,Tiananmen hunger strike,YY
捌久政治风波,,Eight years of political turmoil,YY
1989年民主运动的基本政治主张,,The basic political ideas 1989 democracy movement,YY
要求政府迅速与学生举行实质性真诚对话,,Asked the Government to promptly hold a substantive dialogue with the sincere student,YY
要求政府承认他们没有搞动乱而是在进行一场爱国的民主运动,,Asked the Government to admit that they did not engage in turmoil but engaged in a patriotic democratic movement,YY
政府命令军队进城来镇压学生运动,,The city government ordered the army to suppress the student movement,YY
罢免李鹏总理,,Premier Li Peng recall,YY
解放军从卡车上不分目标的向人群射击,,PLA regardless of target shooting into the crowd from a truck,YY
请愿者要求等邓小平下台,,Deng Xiaoping and other petitioners request to step down,YY
天安门屠杀20年,,Tiananmen Square massacre 20 years,YY
对六四事件进行全面和公开的调查,,June 4 event full and open investigation,YY
六四事件调查委员会,,June incident investigation committee,YY
六四事件受害者赔偿法案,,June incident Victims Compensation Act,YY
陸④事件,,LU ④ Event,YY
兲鮟閄事件,Tiananmen,Tian Shan event monkfish,YY
Tiananmensquareprotests,,,YY
89年中国学潮,,1989 Chinese student protests,YY
89年的倒共风暴,,89 years down the total storm,YY
1989年6月4日的凌晨在北京的天安门广场,,"Am on June 4, 1989 Tiananmen Square in Beijing",YY
命令北京市民和学生服从中共的戒严令,,CPC Beijing people and students to obey the command of martial law,YY
前往天安门广场看望绝食学生,,Students go on hunger strike in Tiananmen Square to visit,YY
89年6月3日傍晚的这场中华民族的悲剧,,The tragedy of this nation 89 years June 3 evening,YY
89年june4,,89 years june4,YY
June4二十年,,June4 two decades,YY
民运领袖王丹,,Democracy leader Wang Dan,YY
天安门抗议事件20周年,,20th anniversary of the Tiananmen Square protests,YY
天A门事件20周年,,20th anniversary of the day A scandal,YY
六四运动是人民和平请愿运动,,Sixty-four movement is the people's peace petition campaign,YY
1989年春北京没有发生动乱,,1989 Spring Beijing no unrest,YY
六四屠杀的性质不容质疑,,Tiananmen massacre nature can not be questioned,YY
1989年6月4日只身阻挡针对平民的坦克,,"June 4, 1989 and moved to block the tanks against civilians",YY
强行进驻北京和占领天安门广场,,Forcibly entered and occupied Tiananmen Square in Beijing,YY
行进过程中军人们向非武装的北京市民开火,,Cheng Zhongjun people traveled to Beijing unarmed citizens fire,YY
六四天安门事件20周年纪念白皮书,,To commemorate the 20th anniversary of the Tiananmen massacre White Paper,YY
用机关枪向无数试图阻拦战车的市民和学生扫射,,Numerous attempts to stop the chariot to the public and students strafed with machine guns,YY
1989年天安门屠杀事件,,1989 Tiananmen Square massacre,YY
二十年前的六月四日,,"Twenty years ago, June 4",YY
0八xianzhang,,0 eight xianzhang,YY
89年june4th,,89 years june4th,YY
六四暴徒,,Sixty-four mob,YY
在六四中丧生,,Killed in Tiananmen in,YY
六四时期,,Sixty-four period,YY
六四画家武文建,,Sixty-four painter Wu Wen Jian,YY
不敢相信人民子弟兵会开枪射杀自己的同胞,,Can not believe the people's army will be shot and killed their own people,YY
二十年后的六四,,642 years after,YY
北京市民要给绝食学生以道义上的支持,,Beijing students on hunger strike in support of the public to give moral,YY
六四市民被枪伤,,Sixty-four people were gunshot wounds,YY
这场影响中国现代历史进程的大事过去二十周年之际,,"The occasion of the twentieth anniversary of the impact of China's modern history, the process of this event in the past",YY
请你不要相信他的关心他的手枪正瞄准你的胸膛,https://www.youtube.com/watch?v=zy5tBC2rwe0,Please do not believe that he's concerned about his pistol is targeting your chest,YY
8964屠杀,,8964 Massacre,YY
64屠杀事件,,64 massacre,YY
89政治风波,,89 political storm,YY
希开尔吾,,I hope Kelvin,YY
北京市高校学生自治联合会,Student group,Autonomous Federation of Beijing University Students,YY
人民日报发表426社论,,426 People's Daily published an editorial,YY
吴而凯西,,Wu and Casey,YY
